"id";"name";"active";"description";"created_at";"updated_at"
1;"Account Associate";1;"";"2021-09-12 14:56:45.496961";"2021-09-12 14:56:45.496968"
2;"Accounting Assistant";1;"";"2021-09-12 14:56:45.496972";"2021-09-12 14:56:45.496973"
3;"Accounting Officer";1;"";"2021-09-12 14:56:45.496974";"2021-09-12 14:56:45.496974"
4;"Admin Callouts Buffer";1;"";"2021-09-12 14:56:45.496975";"2021-09-12 14:56:45.496976"
5;"Admin Staff";1;"";"2021-09-12 14:56:45.496977";"2021-09-12 14:56:45.496978"
6;"Admin Team Leader";1;"";"2021-09-12 14:56:45.496979";"2021-09-12 14:56:45.496980"
7;"Assistant Admin";1;"";"2021-09-12 14:56:45.496981";"2021-09-12 14:56:45.496981"
8;"Assistant Junior Analyst";1;"";"2021-09-12 14:56:45.496982";"2021-09-12 14:56:45.496983"
9;"Assistant Manager";1;"";"2021-09-12 14:56:45.496984";"2021-09-12 14:56:45.496985"
10;"Asst. Team Leader";1;"";"2021-09-12 14:56:45.496986";"2021-09-12 14:56:45.496986"
11;"Asst. Team Manager";1;"";"2021-09-12 14:56:45.496987";"2021-09-12 14:56:45.496988"
12;"Autoloan Driver";1;"";"2021-09-12 14:56:45.496989";"2021-09-12 14:56:45.496990"
13;"Autoloan Rider";1;"";"2021-09-12 14:56:45.496990";"2021-09-12 14:56:45.496991"
14;"Branch Manager";1;"";"2021-09-12 14:56:45.496992";"2021-09-12 14:56:45.496993"
15;"Callouts Buffer";1;"";"2021-09-12 14:56:45.496994";"2021-09-12 14:56:45.496995"
16;"Consumer JA Buffer";1;"";"2021-09-12 14:56:45.496996";"2021-09-12 14:56:45.496997"
17;"Consumer Junior Analyst";1;"";"2021-09-12 14:56:45.496997";"2021-09-12 14:56:45.496998"
18;"Corporate Affairs & Communications Manager";1;"";"2021-09-12 14:56:45.496999";"2021-09-12 14:56:45.497000"
19;"Credit Associate";1;"";"2021-09-12 14:56:45.497001";"2021-09-12 14:56:45.497001"
20;"EG PMR";1;"";"2021-09-12 14:56:45.497002";"2021-09-12 14:56:45.497003"
21;"EG PMR GOA";1;"";"2021-09-12 14:56:45.497004";"2021-09-12 14:56:45.497005"
22;"Electrical Maintenance";1;"";"2021-09-12 14:56:45.497006";"2021-09-12 14:56:45.497006"
23;"Exclusive Rider";1;"";"2021-09-12 14:56:45.497007";"2021-09-12 14:56:45.497008"
24;"Field Admin";1;"";"2021-09-12 14:56:45.497009";"2021-09-12 14:56:45.497009"
25;"Field Credit Investigator";1;"";"2021-09-12 14:56:45.497010";"2021-09-12 14:56:45.497011"
26;"Field Credit Verifier";1;"";"2021-09-12 14:56:45.497012";"2021-09-12 14:56:45.497012"
27;"Field Officer";1;"";"2021-09-12 14:56:45.497013";"2021-09-12 14:56:45.497014"
28;"Globe Admin";1;"";"2021-09-12 14:56:45.497015";"2021-09-12 14:56:45.497015"
29;"Globe Admin / MOR";1;"";"2021-09-12 14:56:45.497016";"2021-09-12 14:56:45.497017"
30;"Globe Admin Buffer";1;"";"2021-09-12 14:56:45.497018";"2021-09-12 14:56:45.497018"
31;"Globe Liaison Officer";1;"";"2021-09-12 14:56:45.497019";"2021-09-12 14:56:45.497020"
32;"Globe Support Admin";1;"";"2021-09-12 14:56:45.497021";"2021-09-12 14:56:45.497021"
33;"Globe Trainor";1;"";"2021-09-12 14:56:45.497022";"2021-09-12 14:56:45.497023"
34;"GOA SGMA";1;"";"2021-09-12 14:56:45.497024";"2021-09-12 14:56:45.497024"
35;"GOA SL/NL";1;"";"2021-09-12 14:56:45.497026";"2021-09-12 14:56:45.497026"
36;"GOA VISMIN";1;"";"2021-09-12 14:56:45.497027";"2021-09-12 14:56:45.497028"
37;"Graphic Artist";1;"";"2021-09-12 14:56:45.497029";"2021-09-12 14:56:45.497030"
38;"HR Associate";1;"";"2021-09-12 14:56:45.497031";"2021-09-12 14:56:45.497031"
39;"HR Database Management";1;"";"2021-09-12 14:56:45.497032";"2021-09-12 14:56:45.497033"
40;"HR Generalist";1;"";"2021-09-12 14:56:45.497034";"2021-09-12 14:56:45.497035"
41;"HR Recruitment Associate";1;"";"2021-09-12 14:56:45.497035";"2021-09-12 14:56:45.497036"
42;"HR Recruitment Specialist";1;"";"2021-09-12 14:56:45.497037";"2021-09-12 14:56:45.497038"
43;"HR Specialist";1;"";"2021-09-12 14:56:45.497039";"2021-09-12 14:56:45.497039"
44;"HR Supervisor";1;"";"2021-09-12 14:56:45.497040";"2021-09-12 14:56:45.497041"
45;"IT Manager";1;"";"2021-09-12 14:56:45.497042";"2021-09-12 14:56:45.497043"
46;"IT Staff";1;"";"2021-09-12 14:56:45.497044";"2021-09-12 14:56:45.497045"
47;"IT Supervisor";1;"";"2021-09-12 14:56:45.497045";"2021-09-12 14:56:45.497046"
48;"IT Technical Engineer";1;"";"2021-09-12 14:56:45.497047";"2021-09-12 14:56:45.497048"
49;"Junior Analyst";1;"";"2021-09-12 14:56:45.497049";"2021-09-12 14:56:45.497049"
50;"Junior Analyst Gov'T Account";1;"";"2021-09-12 14:56:45.497050";"2021-09-12 14:56:45.497051"
51;"Liaison Officer";1;"";"2021-09-12 14:56:45.497052";"2021-09-12 14:56:45.497052"
52;"Maintenance";1;"";"2021-09-12 14:56:45.497053";"2021-09-12 14:56:45.497054"
53;"Operations Manager";1;"";"2021-09-12 14:56:45.497055";"2021-09-12 14:56:45.497055"
54;"Personal Assistant";1;"";"2021-09-12 14:56:45.497056";"2021-09-12 14:56:45.497057"
55;"Personal Driver";1;"";"2021-09-12 14:56:45.497058";"2021-09-12 14:56:45.497058"
56;"Process Improvement Officer";1;"";"2021-09-12 14:56:45.497059";"2021-09-12 14:56:45.497060"
57;"Procurement Manager";1;"";"2021-09-12 14:56:45.497061";"2021-09-12 14:56:45.497061"
58;"Procurement Staff";1;"";"2021-09-12 14:56:45.497062";"2021-09-12 14:56:45.497063"
59;"Procurement Supervisor";1;"";"2021-09-12 14:56:45.497064";"2021-09-12 14:56:45.497064"
60;"QA Callouts";1;"";"2021-09-12 14:56:45.497065";"2021-09-12 14:56:45.497066"
61;"Quality Analyst";1;"";"2021-09-12 14:56:45.497067";"2021-09-12 14:56:45.497068"
62;"Quality Analyst Assist. Supervisor";1;"";"2021-09-12 14:56:45.497068";"2021-09-12 14:56:45.497069"
63;"Quality Analyst Supervisor";1;"";"2021-09-12 14:56:45.497070";"2021-09-12 14:56:45.497071"
64;"Repossessor";1;"";"2021-09-12 14:56:45.497072";"2021-09-12 14:56:45.497073"
65;"Risk And Compliance Officer";1;"";"2021-09-12 14:56:45.497074";"2021-09-12 14:56:45.497075"
66;"Risk and Compliance Staff";1;"";"2021-09-12 14:56:45.497076";"2021-09-12 14:56:45.497076"
67;"SG Admin Buffer";1;"";"2021-09-12 14:56:45.497077";"2021-09-12 14:56:45.497078"
68;"SG Callouts";1;"";"2021-09-12 14:56:45.497079";"2021-09-12 14:56:45.497079"
69;"SG GOA";1;"";"2021-09-12 14:56:45.497080";"2021-09-12 14:56:45.497081"
70;"SG MOR";1;"";"2021-09-12 14:56:45.497082";"2021-09-12 14:56:45.497083"
71;"SG MOR Buffer";1;"";"2021-09-12 14:56:45.497083";"2021-09-12 14:56:45.497084"
72;"SG Team Manager";1;"";"2021-09-12 14:56:45.497085";"2021-09-12 14:56:45.497086"
73;"Skip Tracer";1;"";"2021-09-12 14:56:45.497087";"2021-09-12 14:56:45.497087"
74;"Team Leader";1;"";"2021-09-12 14:56:45.497088";"2021-09-12 14:56:45.497089"
75;"Team Manager";1;"";"2021-09-12 14:56:45.497090";"2021-09-12 14:56:45.497090"
76;"Tele Credit Investigator";1;"";"2021-09-12 14:56:45.497091";"2021-09-12 14:56:45.497092"
77;"Telesales";1;"";"2021-09-12 14:56:45.497110";"2021-09-12 14:56:45.497110"
78;"Training Officer";1;"";"2021-09-12 14:56:45.497111";"2021-09-12 14:56:45.497112"
79;"Trainor";1;"";"2021-09-12 14:56:45.497113";"2021-09-12 14:56:45.497113"
80;"Vismin Junior Analyst";1;"";"2021-09-12 14:56:45.497114";"2021-09-12 14:56:45.497115"
81;"Vismin Team Manager";1;"";"2021-09-12 14:56:45.497116";"2021-09-12 14:56:45.497117"
82;"undefined";1;"";"2021-09-13 11:53:51.691895";"2021-09-13 11:53:51.691902"
